,timestamp,open,high,low,close,volume,symbol,exchange,timeframe,isEmaUptrend,isEmaDowntrend,isSmaUptrend,isSmaDowntrend,prediction,signal,barsHeld,isEarlySignalFlip,isLastSignalBuy,isLastSignalSell,isNewBuySignal,isNewSellSignal,startLongTrade,startShortTrade,endLongTrade,endShortTrade
472,1697205600000,26843.0,26843.0,26722.6,26745.4,11958.083,BTCUSDT,binance futures,1h,True,True,True,True,-2,-1,0,False,False,True,False,True,,26843.0,True,False
473,1697209200000,26745.3,26774.0,26670.1,26693.0,11685.236,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,1,False,False,True,False,False,,,False,False
474,1697212800000,26692.9,26797.9,26688.1,26786.0,9102.618,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,2,False,False,True,False,False,,,False,False
475,1697216400000,26786.0,26788.4,26675.0,26756.9,7685.813,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,3,False,True,False,False,False,,,False,False
476,1697220000000,26756.9,26777.5,26720.0,26734.7,3701.167,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,4,False,False,True,False,False,,,False,True
477,1697223600000,26734.6,26771.4,26709.2,26768.9,3936.79,BTCUSDT,binance futures,1h,True,True,True,True,-16,-1,5,False,False,True,False,False,,,False,False
478,1697227200000,26769.0,27098.0,26733.3,26967.8,25278.653,BTCUSDT,binance futures,1h,True,True,True,True,-2,-1,6,False,False,True,False,False,,,False,True
479,1697230800000,26967.8,27120.8,26830.0,27005.5,37058.099,BTCUSDT,binance futures,1h,True,True,True,True,14,1,0,False,False,True,True,False,26830.0,,False,False
480,1697234400000,27005.4,27066.5,26737.1,26813.9,22625.751,BTCUSDT,binance futures,1h,True,True,True,True,12,1,1,False,False,True,False,False,,,False,False
481,1697238000000,26813.9,26849.8,26746.0,26849.8,8421.577,BTCUSDT,binance futures,1h,True,True,True,True,10,1,2,False,False,True,False,False,,,False,False
482,1697241600000,26849.7,26889.4,26837.5,26879.9,4786.684,BTCUSDT,binance futures,1h,True,True,True,True,8,1,3,False,False,True,False,False,,,False,False
483,1697245200000,26879.9,26918.4,26828.5,26900.1,4446.461,BTCUSDT,binance futures,1h,True,True,True,True,6,1,4,False,True,False,False,False,,,True,False
484,1697248800000,26900.0,26919.7,26875.6,26889.7,3085.816,BTCUSDT,binance futures,1h,True,True,True,True,-2,1,5,False,True,False,False,False,,,False,False
485,1697252400000,26889.7,26986.4,26889.7,26918.2,7332.03,BTCUSDT,binance futures,1h,True,True,True,True,6,1,6,False,True,False,False,False,,,False,False
486,1697256000000,26918.2,26922.9,26886.5,26896.5,2597.856,BTCUSDT,binance futures,1h,True,True,True,True,8,1,7,False,True,False,False,False,,,False,False
487,1697259600000,26896.5,26926.4,26871.0,26874.2,3785.872,BTCUSDT,binance futures,1h,True,True,True,True,2,1,8,False,True,False,False,False,,,False,False
488,1697263200000,26874.2,26886.1,26842.8,26851.1,5253.197,BTCUSDT,binance futures,1h,True,True,True,True,-12,1,9,False,True,False,False,False,,,True,False
489,1697266800000,26851.1,26863.8,26828.4,26860.5,3117.496,BTCUSDT,binance futures,1h,True,True,True,True,-16,1,10,False,True,False,False,False,,,False,False
490,1697270400000,26860.4,26874.5,26835.0,26858.0,2832.849,BTCUSDT,binance futures,1h,True,True,True,True,-16,1,11,False,True,False,False,False,,,False,False
491,1697274000000,26858.0,26874.3,26858.0,26870.7,1799.541,BTCUSDT,binance futures,1h,True,True,True,True,-16,1,12,False,True,False,False,False,,,False,False
492,1697277600000,26870.7,26892.7,26851.7,26863.2,2619.577,BTCUSDT,binance futures,1h,True,True,True,True,-16,1,13,False,True,False,False,False,,,False,False
493,1697281200000,26863.2,26867.1,26835.7,26860.1,2111.926,BTCUSDT,binance futures,1h,True,True,True,True,-16,1,14,False,True,False,False,False,,,False,False
494,1697284800000,26860.1,26883.8,26837.6,26882.3,2403.592,BTCUSDT,binance futures,1h,True,True,True,True,-16,1,15,False,True,False,False,False,,,False,False
495,1697288400000,26882.3,26902.0,26867.2,26894.7,3851.673,BTCUSDT,binance futures,1h,True,True,True,True,-6,1,16,False,True,False,False,False,,,False,False
496,1697292000000,26894.7,26897.8,26856.7,26874.3,2240.876,BTCUSDT,binance futures,1h,True,True,True,True,-2,1,17,False,True,False,False,False,,,False,False
497,1697295600000,26874.3,26930.0,26864.9,26927.9,4788.075,BTCUSDT,binance futures,1h,True,True,True,True,6,1,18,False,True,False,False,False,,,False,False
498,1697299200000,26927.9,26937.9,26888.6,26914.8,4872.205,BTCUSDT,binance futures,1h,True,True,True,True,4,1,19,False,True,False,False,False,,,False,False
499,1697302800000,26914.8,26917.7,26869.9,26875.1,2838.708,BTCUSDT,binance futures,1h,True,True,True,True,2,1,20,False,True,False,False,False,,,False,False
500,1697306400000,26875.0,26877.6,26853.5,26858.5,2498.22,BTCUSDT,binance futures,1h,True,True,True,True,-4,1,21,False,True,False,False,False,,,False,False
501,1697310000000,26858.5,26867.0,26835.1,26851.5,2770.009,BTCUSDT,binance futures,1h,True,True,True,True,-16,1,22,False,True,False,False,False,,,False,False
502,1697313600000,26851.5,26852.1,26800.0,26831.8,3621.159,BTCUSDT,binance futures,1h,True,True,True,True,-16,1,23,False,True,False,False,False,,,False,False
